SKU;Familia;Grupo;EAN;Org. Venda
12479825;01A-TOP LACTEOS MANGA;01-NP LACTEOS;7891000339398;FOOD
12479830;01A-TOP LACTEOS MANGA;01-NP LACTEOS;7891000339350;FOOD
12523855;01A-TOP LACTEOS MANGA;01-NP LACTEOS;7891000366486;FOOD
12524409;01A-TOP LACTEOS MANGA;01-NP LACTEOS;7891000366868;FOOD
411522;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000004197;FOOD
411524;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000004210;FOOD
411526;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000004234;FOOD
415533;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000027387;FOOD
12133006;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000077177;FOOD
12209621;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000095348;FOOD
12220263;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000004227;FOOD
12318446;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000119938;FOOD
12346804;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000250884;FOOD
12411620;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000286524;FOOD
12608991;01B-TOP LACTEOS LATA E BAG;01-NP LACTEOS;7891000415054;FOOD
12133009;01C-CREMES;01-NP LACTEOS;7891000027448;FOOD
12133134;01C-CREMES;01-NP LACTEOS;7891000121702;FOOD
12171854;01C-CREMES;01-NP LACTEOS;7891000086551;FOOD
12267768;01C-CREMES;01-NP LACTEOS;7891000107331;FOOD
12583425;01C-CREMES;01-NP LACTEOS;7891000396339;FOOD
12554556;01D-CONDENSADOS INTEGRAL BAG;01-NP LACTEOS;7891000379264;FOOD
12611997;01D-CONDENSADOS INTEGRAL BAG;01-NP LACTEOS;7891000418598;FOOD
12612029;01D-CONDENSADOS INTEGRAL BAG;01-NP LACTEOS;7891000418642;FOOD
12613366;01D-CONDENSADOS INTEGRAL BAG;01-NP LACTEOS;7891000420850;FOOD
411059;01E-CONDENSADOS INTEGRAL LATA;01-NP LACTEOS;7891000004180;FOOD
12595044;01F-CONDENSADOS SEMI-DESNATADO BAG;01-NP LACTEOS;7891000404881;FOOD
12280693;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000109908;FOOD
12378445;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000259047;FOOD
12408849;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000284933;BRN8
12408873;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000284971;FOOD
12447224;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000311905;FOOD
12459549;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000312001;FOOD
12586526;01W-LEITE EM PO RETAIL;01-NP LACTEOS;7891000398418;FOOD
12413903;01Z-OUTROS LACTEOS RETAIL;01-NP LACTEOS;7891000327371;FOOD
12486212;01Z-OUTROS LACTEOS RETAIL;01-NP LACTEOS;7891000344835;FOOD
12515616;01Z-OUTROS LACTEOS RETAIL;01-NP LACTEOS;7891000360231;FOOD
412234;02A-COBERTURA REGULAR NESTLE 500G - 1KG;02-NP CHOCOLATES;7891000010433;FOOD
12255799;02A-COBERTURA REGULAR NESTLE 500G - 1KG;02-NP CHOCOLATES;7891000104866;FOOD
12255810;02A-COBERTURA REGULAR NESTLE 500G - 1KG;02-NP CHOCOLATES;7891000104804;FOOD
12255811;02A-COBERTURA REGULAR NESTLE 500G - 1KG;02-NP CHOCOLATES;7891000104828;FOOD
12255812;02A-COBERTURA REGULAR NESTLE 500G - 1KG;02-NP CHOCOLATES;7891000104842;FOOD
12615149;02A-COBERTURA REGULAR NESTLE 500G - 1KG;02-NP CHOCOLATES;7891000423257;FOOD
12351872;02B-COBERTURA REGULAR NESTLE 2KG;02-NP CHOCOLATES;7891000251805;FOOD
12351873;02B-COBERTURA REGULAR NESTLE 2KG;02-NP CHOCOLATES;7891000251782;FOOD
12351874;02B-COBERTURA REGULAR NESTLE 2KG;02-NP CHOCOLATES;7891000251768;FOOD
12351875;02B-COBERTURA REGULAR NESTLE 2KG;02-NP CHOCOLATES;7891000251744;FOOD
12615097;02B-COBERTURA REGULAR NESTLE 2KG;02-NP CHOCOLATES;7891000423240;FOOD
12538907;02C-CASCAS DE OVOS;02-NP CHOCOLATES;7891000374849;FOOD
414530;02D-CHOCOLATE PO;02-NP CHOCOLATES;7891000453001;FOOD
12520104;02D-CHOCOLATE PO;02-NP CHOCOLATES;7891000364512;FOOD
12520114;02D-CHOCOLATE PO;02-NP CHOCOLATES;7891000364567;FOOD
12439522;02E-PASTAS;02-NP CHOCOLATES;7891000304952;FOOD
12462203;02E-PASTAS;02-NP CHOCOLATES;7891000327654;FOOD
12494461;02E-PASTAS;02-NP CHOCOLATES;7891000349212;FOOD
12527441;02E-PASTAS;02-NP CHOCOLATES;7891000369463;FOOD
12581664;02E-PASTAS;02-NP CHOCOLATES;7891000395370;FOOD
12144488;02F-COBERTURA REGULAR GAROTO 2KG;02-NP CHOCOLATES;7891008044881;FOOD
12144489;02F-COBERTURA REGULAR GAROTO 2KG;02-NP CHOCOLATES;7891008044898;FOOD
12144515;02F-COBERTURA REGULAR GAROTO 2KG;02-NP CHOCOLATES;7891008045154;FOOD
12144708;02F-COBERTURA REGULAR GAROTO 2KG;02-NP CHOCOLATES;7891008047080;FOOD
11320308;02G-COBERTURA REGULAR GAROTO 500G - 1KG;02-NP CHOCOLATES;7891008312003;FOOD
11320309;02G-COBERTURA REGULAR GAROTO 500G - 1KG;02-NP CHOCOLATES;7891008309010;FOOD
11320339;02G-COBERTURA REGULAR GAROTO 500G - 1KG;02-NP CHOCOLATES;7891008339017;FOOD
12073778;02H-GANACHE;02-NP CHOCOLATES;7891000062234;FOOD
12611191;02I-COMPOUND 500G - 1KG;02-NP CHOCOLATES;7891000417942;FOOD
12611545;02J-COMPOUND 2KG;02-NP CHOCOLATES;7891000418307;FOOD
11320351;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891008351026;FOOD
12393734;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891008137347;FOOD
12393735;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891008137354;FOOD
12448706;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891000312919;BRN8
12448714;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891000312964;FOOD
12448721;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891000313015;FOOD
12454930;02Z-CHOCOLATES RETAIL;02-NP CHOCOLATES;7891000321652;FOOD
12320781;03A-MAGGI CALDOS;03-NP CULINARIOS;7891000120163;FOOD
12320782;03A-MAGGI CALDOS;03-NP CULINARIOS;7891000120187;FOOD
12168360;03B-MAGGI TEMPEROS;03-NP CULINARIOS;7891000085431;FOOD
12168361;03B-MAGGI TEMPEROS;03-NP CULINARIOS;7891000085455;FOOD
12168362;03B-MAGGI TEMPEROS;03-NP CULINARIOS;7891000085479;FOOD
12514186;03B-MAGGI TEMPEROS;03-NP CULINARIOS;7891000359334;FOOD
415328;03C-MAGGI MOLHOS E CREMES;03-NP CULINARIOS;7891000532805;FOOD
12575461;03C-MAGGI MOLHOS E CREMES;03-NP CULINARIOS;7891000391310;FOOD
12019569;03Z-CULINARIOS RETAIL;03-NP CULINARIOS;7891000037270;FOOD
12377123;03Z-CULINARIOS RETAIL;03-NP CULINARIOS;7891000258873;FOOD
413522;04A-SOBREMESAS;04-NP SOBREMESAS;7891000010945;FOOD
12383749;04A-SOBREMESAS;04-NP SOBREMESAS;7891000261637;FOOD
12383770;04A-SOBREMESAS;04-NP SOBREMESAS;7891000261651;FOOD
12383806;04A-SOBREMESAS;04-NP SOBREMESAS;7891000261699;FOOD
12581686;04A-SOBREMESAS;04-NP SOBREMESAS;7891000395479;FOOD
419489;05A-BISCOITOS;05-NP BISCOITOS;7891000948903;FOOD
12607311;05A-BISCOITOS;05-NP BISCOITOS;7891000413937;FOOD
