SKU;Texto breve material;Lote;Data do vencimento
12581664;PRESTIGIO Pasta NPro 6x1,01kg BR;60199265;19/10/2026
12624593;PRESTIGIO Tablete Recheado 4(14x90g) BR;535312947G;19/10/2026
12664895;KITKAT 2Fngr Leite Bag 10x417,6gPRLMPMBR;53029265M1;22/10/2026
12479830;MOCA Doce de Leite 8x1,01kg NPro BR;6084046031;25/10/2026
12627358;TALENTO CstnCajuParaAmendoim 8(15x75g)BR;536312943;29/10/2026
12209621;MOCA Recheio Morango NPro 6x2,6kg BR;6120046023;30/10/2026
412341;NUTREN ACTIVE PBIO1 Chocolate 12x400g BR;5234121015;01/11/2026
12274634;Chocofans Achoc Vending NPro 6x1,3kg BR;6048121021;01/11/2026
12339674;DENTALIFE Caes Racas Grandes 7x196g BR;51428561T2;01/11/2026
12355348;NESTLE Crmlt Zero Lact Uht 27x200g BR;6081046061;01/11/2026
12444047;PRO PLAN Urinary 10x1kg BR;51288561C4;01/11/2026
12454108;ONEAdltMiniPeqc/Frg&CarneDeVdd 11x700gBR;51288561C4;01/11/2026
12454876;PRO PLAN Adult Mini&Peq 10x1kg BR;51288561C4;01/11/2026
12455021;ONEGatEsterilizadosFrg&SlmDeVdd20x500gBR;51378561C4;01/11/2026
12455107;ONECatAdultos c/Frg&CarneDeVdd20x500gBR;51398561C4;01/11/2026
12592785;PRO PLAN SensitiveSkin Mini&Peq 7,5kg BR;51298561CM;01/11/2026
12613366;MOCA Leite Condensado NPro 8x1,18kg BR;60929264A5;01/11/2026
12620125;NINHO CmptoLact Fibras Lata 24x380g BR;5238121711;01/11/2026
13882994;MAG Macarrao Sab MacN Chse 12(9x65g) BR;61031228;01/11/2026
12615097;GALAK NPro Cobertura Choc 6x2,1kg BR;531412941;10/11/2026
12615149;GALAK NPro Cobertura Choc 12x1kg BR;531412941;10/11/2026
411522;MOCA Beijinho NPro 6x2400g XW;6070046021;11/11/2026
12527441;NESTLE DoisFrades Pasta NPro 6x1,01kg BR;60139265;13/11/2026
12608991;NINHO Recheio NPro 6x2,61kg BR;6072046021;13/11/2026
12187083;NESTON Bebida Garrafa Plas 4(6x280ml) BR;6137046001;17/11/2026
12451066;MOCALeiCondParcDesnZrLactCxnha27x395gBR;6137926403;17/11/2026
12234477;NESCAU Cereal Matinal 14x770g BR;53541212E;20/11/2026
12550128;BONO Biscoito Recheado Coco 66x90g BR;608412219;25/11/2026
13783814;PRST Frutas Vermelhas Choc 18(30x33g) BR;60499265C;25/11/2026
12460228;GAROTO Pastilha ExtraForte 24(40x17g) XW;53321294D;28/11/2026
12144708;GAROTO Cob Choc ao Leite 5x2,1kg BR;533412941;30/11/2026
